id,name,lat,long,type
10828,Bar Restaurant Xenius,42.469499,1.492939,gastronomy
44583,Cafeteria l'Spigata,42.50675,1.523319,gastronomy
11086,Restaurant Camp del Serrat,42.517434,1.568223,gastronomy
11474,Restaurant Hotel Univers,42.537026,1.582278,gastronomy
10830,Bar Stop Vermell,42.506067,1.528932,gastronomy
44584,Frankfurt del Toni,42.50658,1.517322,gastronomy
11088,Restaurant El Tall a Taula,42.507123,1.531254,gastronomy
11476,Restaurant Hotel Vall Ski,42.579773,1.659729,gastronomy
44585,Cafeteria La Botiga del T’å,42.508151,1.522528,gastronomy
10832,Creperia l'Iguana,42.566654,1.599458,gastronomy
11090,Restaurant El Teatre del Vi,42.531777,1.698922,gastronomy
11480,Restaurant Hotel Xalet Bringu’©,42.61982,1.540039,gastronomy
44587,Bar Portugu’ås,42.504408,1.514688,gastronomy
11092,Restaurant Els Flocs,42.539465,1.733442,gastronomy
10834,Restaurant La Taverna de la Iaia,42.576966,1.667457,gastronomy
44589,Bar Restaurant Espanyol,42.505026,1.514361,gastronomy
11484,Restaurant Kronos (Fenix Hotel),42.509553,1.539615,gastronomy
10836,Granja Cafeteria Trilogia,42.532559,1.576954,gastronomy
11094,Restaurant Hotel Roc de Caldes,42.510632,1.547141,gastronomy
44593,Bar 3R Temps,42.505457,1.516846,gastronomy
11486,Restaurant Hotel Rutllan,42.547378,1.513238,gastronomy
11096,Restaurant Els Planells,42.631681,1.500527,gastronomy
10838,Snack-Bar Vermell i Negre,42.5056,1.523682,gastronomy
44596,Cafeteria l'Elixir,42.50771,1.52371,gastronomy
11488,Restaurant La Boh’åme,42.507864,1.523602,gastronomy
44598,Restaurant Pollastre R’_pid,42.504694,1.514824,gastronomy
11098,Restaurant ’_s Andorra (Andorra Park Hotel),42.50924,1.523066,gastronomy
10840,Restaurant Viena,42.495343,1.505299,gastronomy
11490,Restaurant La Borda Xica,42.544883,1.513736,gastronomy
11100,Restaurant La Cabana - Espiolets,42.578208,1.64619,gastronomy
44602,Hostel & Pub Barri Antic,42.506883,1.52099,gastronomy
10844,Frankfurt A On Anem,42.535595,1.582028,gastronomy
10408,Restaurant Abbasid D’_ner Kebab,42.508632,1.535267,gastronomy
44603,Cafeteria 42 Tu I Te,42.505773,1.528464,gastronomy
11492,Cafeteria La Brasserie,42.508378,1.527057,gastronomy
11102,Restaurant Eureka,42.508726,1.540189,gastronomy
10846,Caff’å Di Fiore,42.508633,1.535859,gastronomy
10412,Bar Aqu’_ T'espero,42.511726,1.540594,gastronomy
11494,Restaurant La Braza,42.540892,1.733753,gastronomy
10414,Bar Arbre de Gel,42.534599,1.587085,gastronomy
11104,Restaurant Eximi,42.508054,1.522881,gastronomy
10416,Bar Armada,42.5049,1.514727,gastronomy
44607,Restaurant La Taverna d'Ali,42.506881,1.529877,gastronomy
11498,Restaurant La Caleta,42.577226,1.665361,gastronomy
10848,Bar Pulka,42.531777,1.698922,gastronomy
11106,Restaurant Fontanella (Hotel Exe Prisma),42.510522,1.539052,gastronomy
44608,Cafeteria Cigne & Delicious,42.463992,1.506151,gastronomy
11500,Restaurant La Cantina dels Racons,42.562469,1.590292,gastronomy
10850,Restaurant Borda de Conangle,42.441131,1.500406,gastronomy
44611,Bar Salta Lalinda,42.504536,1.514701,gastronomy
10420,Bar Restaurant El fill d'Ast’årix,42.542939,1.731902,gastronomy
11502,Pizzeria La Capricciosa,42.542459,1.517305,gastronomy
44612,Bar Ranxo Apart,42.503497,1.513575,gastronomy
